year,category_id,amount,file,page,x,y,width,height
2024,0,173126880,stamma2025.pdf,35,440,640,100,15
2024,1,61016065,stamma2025.pdf,35,440,660,100,15
2024,2,19059678,stamma2025.pdf,35,440,525,100,15
2024,3,11893051,stamma2025.pdf,35,440,545,100,15
2023,0,94810505,stamma-2024.pdf,12,440,640,100,15
2023,1,132932440,stamma-2024.pdf,12,440,660,100,15
2023,2,14540353,stamma-2024.pdf,13,440,525,100,15
2023,3,17844336,stamma-2024.pdf,12,440,545,100,15
2022,0,45637324,stamma-2023.pdf,10,440,640,100,15
2022,1,174969952,stamma-2023.pdf,10,440,660,100,15
2022,2,0,stamma-2023.pdf,9,440,525,100,15
2022,3,11893051,stamma-2023.pdf,9,440,545,100,15
2021,0,3157324,stamma_kallelse_2022.pdf,15,440,640,100,15
2021,1,198827276,stamma_kallelse_2022.pdf,15,440,660,100,15
2021,2,120165,stamma_kallelse_2022.pdf,14,440,525,100,15
2021,3,17844336,stamma_kallelse_2022.pdf,14,440,545,100,15
2020,0,8857324,stamma_kallelse_2022.pdf,15,440,640,100,15
2020,1,151284600,stamma_kallelse_2022.pdf,15,440,660,100,15
2020,2,226313,stamma_kallelse_2022.pdf,14,440,525,100,15
2020,3,21452723,stamma_kallelse_2022.pdf,14,440,545,100,15
2019,0,3157324,stamma_kallelse-2021.pdf,14,440,640,100,15
2019,1,160141924,stamma_kallelse-2021.pdf,14,440,660,100,15
2019,2,159600,stamma_kallelse-2021.pdf,13,440,525,100,15
2019,3,20038948,stamma_kallelse-2021.pdf,13,440,545,100,15
